;;;    GRIPPE   2007-2008;;2009-2010;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;JANVIER ;;2010;;;;;;;;;;;;;;JANVIER ;;2010;;;;;;;;;;;
S1a;;;;;;;;;;;;;;;;S1b;;;;;;;;;;;;;;
;;;;;SEMAINE 1;;;;;;;;;;;;;;;;SEMAINE 1;;;;;;;;;
;;0-5 ;;;5-06 ans;;;16 ans;;;;;;;;;;0-5 ;;;5-06 ans;;;16 ans;;;;;;
Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA;;Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA
Tunis;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Tunis;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Ariana;33;0;260;22;0;198;62;0;853;117;0;1311;8,9;0,0;;Ariana;62;0;587;68;0;441;173;0;2007;303;0;3035;10,0;0,0
Mannouba;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Mannouba;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Ben Arous;18;94;330;17;48;247;67;125;1170;102;267;1747;5,8;15,3;;Ben Arous;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Bizerte;58;130;323;57;81;285;144;134;1248;259;345;1856;14,0;18,6;;Bizerte;79;235;581;132;179;494;333;359;2734;544;773;3809;14,3;20,3
Nabeul;33;165;333;43;56;246;105;165;1179;181;386;1758;10,3;22,0;;Nabeul;38;310;605;72;97;334;152;367;2761;262;774;3700;7,1;20,9
Zaghouan;14;0;116;20;0;117;60;0;510;94;0;743;12,7;0;;Zaghouan;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Beja;17;47;97;15;10;71;50;19;350;82;76;518;15,8;14,7;;Beja;0;0;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Jendouba ;28;68;141;10;19;40;45;33;335;83;120;516;16,1;23,3;;Jendouba ;29;108;235;18;37;120;76;49;540;123;194;895;13,7;21,7
Le Kef;0;89;168;47;0;135;222;0;1167;269;89;1470;18,3;6,1;;Le Kef;0;124;247;73;0;205;262;0;1960;335;124;2412;13,9;5,1
Siliana;7;0;40;37;0;80;98;0;675;142;0;795;17,9;0;;Siliana;13;0;77;59;0;198;192;0;1276;264;0;1551;17,0;0
Kairouan;96;36;320;64;16;233;217;74;1040;377;126;1593;23,7;7,9;;Kairouan;115;33;580;113;44;439;342;120;2115;570;197;3134;18,2;6,285896618
Sousse;35;38;217;17;12;140;167;52;1857;219;102;2214;9,9;4,6;;Sousse;44;80;492;26;35;229;252;84;2845;322;199;3566;9,0;5,6
Mahdia;4;12;97;14;0;123;28;0;172;46;12;392;11,7;3,1;;Mahdia;17;13;151;29;0;178;44;0;287;90;13;616;14,6;2,11038961
Monastir;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Monastir;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Kasserine;59;2;455;167;0;390;342;24;1738;568;26;2583;22,0;1,0;;Kasserine;85;0;473;134;1;366;316;4;2099;535;5;2938;18,2;0,2
Sfax;31;25;165;55;57;209;125;141;1235;211;223;1609;13,1;13,9;;Sfax;27;45;196;55;55;319;139;172;1825;221;272;2340;9,4;11,6
Gabes;69;0;432;81;0;399;395;0;2109;545;0;2940;18,5;0;;Gabes;96;0;405;97;0;461;413;0;1969;606;0;2835;21,4;0
Kebili;88;161;513;181;59;677;491;78;3569;760;298;4759;16,0;6,3;;Kebili;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Gafsa;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Gafsa;20;0;78;40;0;137;68;0;1128;128;0;1343;9,5;0,0
Sidi Bouz;34;97;200;53;28;194;201;54;1134;288;179;1528;18,8;11,7;;Sidi Bouz;34;96;271;87;55;308;275;70;1832;396;221;2411;16,4;9,2
Tozeur;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Tozeur;3;9;45;21;21;73;73;51;364;97;81;482;20,1;16,8
Medenine;11;81;256;23;36;176;123;136;1121;157;253;1553;10,1;16,3;;Medenine;15;103;286;33;83;254;107;264;1605;155;450;2145;7,2;21,0
Tataou;2;0;15;4;7;35;13;20;205;19;27;255;7,5;10,6;;Tataou;9;9;48;11;14;60;26;36;446;46;59;554;8,3;10,6
Total;637;1045;4478;927;429;3995;2955;1055;21667;4519;2529;30140;15,0;8,4;;Total;686;1165;5357;1068;621;4616;3243;1576;27793;4997;3362;37766;13,2;8,9
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JANVIER ;;;;2010;;;;;;;;;;;;JANVIER ;;;;2010;;;;;;;;;;
S2a;;;;;;;;;;;;;;;;;;;S2b;;;;;;;;;;;
;;;;;SEMAINE2;;;;;;;;;;;;;;;;SEMAINE2;;;;;;;;;
;;0-5 ;;;5-06 ans;;;16 ans;;;;;;;;;;0-5 ;;;5-06 ans;;;16 ans;;;;;;
Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS;TGRIP;TIRA;T,CONS;TX GR;TX IRA;;Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS;TGRIP;TIRA;T,CONS;TX GR;TX IRA
Tunis;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Tunis;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Ariana;62;0;443;61;0;488;139;0;2010;262;0;2941;8,9;0,0;;Ariana;61;0;514;125;0;620;200;0;2071;386;0;3205;12,0;0,0
Mannouba;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Mannouba;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Ben Arous;12;135;329;15;35;177;68;148;1391;95;318;1897;5,0;16,8;;Ben Arous;15;157;302;34;94;279;93;135;1365;142;386;1946;7,3;19,8
Bizerte;60;179;429;97;157;293;224;159;2280;381;495;3002;12,7;16,5;;Bizerte;61;227;484;127;192;575;270;331;2139;458;750;3198;14,3;23,5
Nabeul;43;256;471;50;89;264;130;276;2226;223;621;2961;7,5;21,0;;Nabeul;46;281;537;80;146;469;145;352;2349;271;779;3355;8,1;23,2
Zaghouan;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Zaghouan;20;0;153;23;0;160;65;0;759;108;0;1072;10,1;0,0
Beja;23;38;128;14;18;127;32;52;508;69;108;763;9,0;14,2;;Beja;17;32;196;13;5;89;20;3;328;50;40;613;8,2;6,5
Jendouba ;25;60;163;9;31;87;53;40;432;87;131;682;12,8;19,2;;Jendouba ;22;94;221;25;53;163;86;24;479;133;171;863;15,4;19,8
Le Kef;0;101;206;57;0;213;277;0;1524;334;101;1943;17,2;5,2;;Le Kef;0;98;233;88;0;287;249;0;1620;337;98;2140;15,7;4,6
Siliana;16;0;66;61;0;179;180;0;832;257;0;1077;23,9;0,0;;Siliana;8;0;52;90;0;294;204;0;1078;302;0;1424;21,2;0,0
Kairouan;116;35;473;98;41;444;234;81;1865;448;157;2782;16,1;5,6;;Kairouan;109;41;469;120;42;525;267;100;2326;496;183;3320;14,9;5,5
Sousse;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Sousse;53;75;476;34;35;288;158;114;2725;245;224;3489;7,0;6,4
Mahdia;11;13;107;13;0;189;42;0;276;66;13;572;11,5;2,3;;Mahdia;21;7;146;11;0;93;26;1;189;58;8;428;13,6;1,9
Monastir;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Monastir;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Kasserine;41;0;295;145;0;354;306;3;1626;492;3;2275;21,6;0,1;;Kasserine;58;0;425;75;5;423;170;24;1699;303;29;2547;11,9;1,1
Sfax;19;35;204;53;57;349;113;126;1536;185;218;2089;8,9;10,4;;Sfax;28;75;401;111;65;532;91;109;2726;230;249;3659;6,3;6,8
Gabes;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Gabes;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Kebili;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Kebili;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Gafsa;48;0;580;211;0;684;470;0;3028;729;0;4292;17,0;0,0;;Gafsa;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Sidi Bouz;46;69;218;46;43;262;168;45;1610;260;157;2090;12,4;7,5;;Sidi Bouz;52;81;261;97;64;338;202;56;1868;351;201;2467;14,2;8,1
Tozeur;2;6;22;12;18;72;42;32;238;56;56;332;16,9;16,9;;Tozeur;4;5;42;12;12;55;51;37;273;67;54;370;18,1;14,6
Medenine;12;104;260;33;65;262;105;196;1461;150;365;1983;7,6;18,4;;Medenine;24;100;283;54;87;295;112;229;1435;190;416;2013;9,4;20,7
Tataou;7;6;34;16;9;67;31;22;288;54;37;389;13,9;9,5;;Tataou;4;9;25;20;9;89;20;26;272;44;44;386;11,4;11,4
Total;543;1037;4428;991;563;4511;2614;1180;23131;4148;2780;32070;12,9;8,7;;Total;603;1282;5220;1139;809;5574;2429;1541;25701;4171;3632;36495;11,4;10,0
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JANVIER ;;2010;;;;;;;;;;;;;;JANVIER ;;2010;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;S3a;;;;SEMAINE3;;;;;;;;;;;;;;S3b;;SEMAINE3;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS;TGRIP;TIRA;T,CONS;TX GR;TX IRA;;Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS;TGRIP;TIRA;T,CONS;TX GR;TX IRA
Tunis;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Tunis;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Ariana;57;0;441;67;0;516;139;0;1746;263;0;2703;9,7;0,0;;Ariana;50;0;677;67;0;593;147;0;2176;264;0;3446;7,7;0,0
Mannouba;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Mannouba;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Ben Arous;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Ben Arous;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Bizerte;70;211;460;116;180;542;222;213;2012;408;604;3014;13,5;20,0;;Bizerte;68;290;730;131;231;649;278;280;2383;477;801;3762;12,7;21,3
Nabeul;26;264;439;57;137;371;149;330;2014;232;731;2824;8,2;25,9;;Nabeul;42;370;619;78;179;488;172;475;2534;292;1024;3641;8,0;28,1
Zaghouan;10;0;107;17;0;134;20;0;554;47;0;795;5,9;0,0;;Zaghouan;22;0;91;20;0;161;105;0;600;147;0;852;17,3;0,0
Beja;14;48;192;23;12;111;48;21;344;85;81;647;13,1;12,5;;Beja;11;20;99;20;15;77;36;34;249;67;69;425;15,8;16,2
Jendouba ;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Jendouba ;40;137;240;13;63;140;52;53;515;105;253;895;11,7;28,3
Le Kef;0;67;189;65;0;226;210;0;1174;275;67;1589;17,3;4,2;;Le Kef;0;121;290;96;0;323;255;0;1870;351;121;2483;14,1;4,9
Siliana;8;0;63;54;0;176;124;0;832;186;0;1071;17,4;0,0;;Siliana;16;0;76;74;0;288;189;0;1127;279;0;1491;18,7;0,0
Kairouan;91;30;353;89;48;454;213;92;1859;393;170;2666;14,7;6,4;;Kairouan;102;36;539;130;54;554;179;125;2245;411;215;3338;12,3;6,4
Sousse;38;78;423;21;44;241;124;84;2358;183;206;3022;6,1;6,8;;Sousse;61;128;598;44;86;385;157;138;2930;262;352;3913;6,7;9,0
Mahdia;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Mahdia;7;4;196;14;0;123;21;1;190;42;5;509;8,3;1,0
Monastir;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Monastir;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Kasserine;46;10;378;56;76;465;128;307;1972;230;393;2815;8,2;14,0;;Kasserine;75;14;591;76;74;465;173;344;2243;324;432;3299;9,8;13,1
Sfax;25;55;205;46;50;404;87;116;1538;158;221;2147;7,4;10,3;;Sfax;24;116;257;57;81;511;101;151;1995;182;348;2763;6,6;12,6
Gabes;65;0;432;85;0;519;211;0;2009;361;0;2960;12,2;0,0;;Gabes;77;0;505;119;0;522;338;0;1957;534;0;2984;17,9;0,0
Kebili;87;196;547;221;57;771;427;74;3184;735;327;4502;16,3;7,3;;Kebili;117;240;727;268;61;893;322;121;3215;707;422;4835;14,6;8,7
Gafsa;13;0;52;16;0;123;62;0;722;91;0;897;10,1;0,0;;Gafsa;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Sidi Bouz;41;87;286;77;44;337;157;71;1688;275;202;2311;11,9;8,7;;Sidi Bouz;52;110;311;108;81;425;209;55;2008;369;246;2744;13,4;9,0
Tozeur;1;8;21;15;13;49;19;17;240;35;38;310;11,3;12,3;;Tozeur;12;7;45;13;4;54;35;22;311;60;33;410;14,6;8,0
Medenine;17;93;302;34;88;371;123;194;1354;174;375;2027;8,6;18,5;;Medenine;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Tataou;1;6;26;6;6;53;22;5;248;29;17;327;8,9;5,2;;Tataou;2;7;54;10;5;83;23;11;394;35;23;531;6,6;4,3
Total;610;1153;4916;1065;755;5863;2485;1524;25848;4160;3432;36627;11,4;9,4;;Total;778;1600;6645;1338;934;6734;2792;1810;28942;4908;4344;42321;11,6;10,3
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JANVIER ;;2010;;;;;;;;;;;;;;JANVIER ;;2010;;;;;;;;;;;;
;S4a;;;;;;;;;;;;;;;;;S4b;;;;;;;;;;;;
;;;;;SEMAINE4;;;;;;;;;;;;;;;;SEMAINE4;;;;;;;;;
;;0-5 ;;;5-06 ans;;;16 ans;;;;;;;;;;0-5 ;;;5-06 ans;;;16 ans;;;;;;
Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA;;Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA
Tunis;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Tunis;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Ariana;43;0;498;77;0;548;130;0;1813;250;0;2859;8,7;0,0;;Ariana;70;0;658;73;0;658;169;0;2320;312;0;3636;8,6;0,0
Mannouba;0;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Mannouba;0;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Ben Arous;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Ben Arous;8;154;377;26;106;283;92;152;1529;126;412;2189;5,8;18,8
Bizerte;54;221;475;130;161;471;226;227;1928;410;609;2874;14,3;21,2;;Bizerte;79;289;578;130;201;725;399;322;2333;608;812;3636;16,7;22,3
Nabeul;37;328;508;50;149;410;129;325;2046;216;802;2964;7,3;27,1;;Nabeul;29;379;580;52;139;391;151;286;2259;232;804;3230;7,2;24,9
Zaghouan;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Zaghouan;9;0;154;22;0;175;64;0;671;95;0;1000;9,5;0
Beja;17;10;115;14;4;76;28;26;364;59;40;555;10,6;7,207207207;;Beja;13;5;65;30;6;79;37;13;288;80;24;432;18,5;5,555555556
Jendouba ;29;101;211;21;43;127;55;40;470;105;184;808;13,0;22,8;;Jendouba ;35;100;229;21;42;162;72;40;446;128;182;837;15,3;21,7
Le Kef;0;98;225;80;0;285;233;0;1470;313;98;1980;15,8;4,9;;Le Kef;0;119;312;105;0;352;328;0;1780;433;119;2444;17,7;4,9
Siliana;7;0;59;42;0;176;135;0;913;184;0;1148;16,0;0,0;;Siliana;14;0;74;73;0;248;145;0;1056;232;0;1378;16,8;0
Kairouan;105;30;457;63;52;413;158;103;1871;326;185;2741;11,9;6,7;;Kairouan;123;72;541;129;47;653;223;168;2396;475;287;3590;13,2;8,0
Sousse;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Sousse;72;131;609;56;70;383;178;189;2945;306;390;3937;7,8;9,9
Mahdia;19;9;117;14;0;124;48;1;275;81;10;516;15,7;1,937984496;;Mahdia;12;7;164;21;0;231;55;1;299;88;8;694;12,7;1,152737752
Monastir;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Monastir;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Kasserine;66;2;477;50;0;284;141;1;1755;257;3;2516;10,2;0,1;;Kasserine;63;4;491;124;4;410;307;13;2255;494;21;3156;15,7;0,7
Sfax;15;120;342;41;68;470;94;125;1849;150;313;2661;5,6;11,8;;Sfax;25;93;330;58;101;537;100;164;1918;183;358;2785;6,6;12,9
Gabes;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Gabes;63;0;545;158;0;614;318;0;2020;539;0;3179;17,0;0,0
Kebili;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Kebili;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Gafsa;21;0;71;21;0;98;74;0;720;116;0;889;13,0;0,0;;Gafsa;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Sidi Bouz;77;101;348;99;75;362;196;83;1906;372;259;2616;14,2;9,9;;Sidi Bouz;62;72;271;121;55;395;207;63;1829;390;190;2495;15,6;7,6
Tozeur;4;8;30;15;11;63;23;29;269;42;48;362;11,6;13,3;;Tozeur;0;13;49;16;14;65;42;23;248;58;50;362;16,0;13,8
Medenine;35;146;377;48;120;422;108;234;1585;191;500;2384;8,0;21,0;;Medenine;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Tataou;2;9;54;3;13;61;6;26;276;11;48;391;2,8;12,3;;Tataou;0;14;35;10;18;40;14;25;331;24;57;406;5,9;14,0
Total;531;1183;4364;768;696;4390;1784;1220;19510;3083;3099;28264;10,9;11,0;;Total;677;1452;6062;1225;803;6401;2901;1459;26923;4803;3714;39386;12,2;9,4
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JANVIER ;;2010;;;;;;;;;;;;;;JANVIER ;;2010;;;;;;;;;;;;
;;;S5a;;;;;;;;;;;;;;;;S5b;;;;;;;;;;;
;;;;;SEMAINE5;;;;;;;;;;;;;;;;SEMAINE5;;;;;;;;;
;;0-5 ;;;5-06 ans;;;16 ans;;;;;;;;;;0-5 ;;;5-06 ans;;;16 ans;;;;;;
Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA;;Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA
Tunis;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Tunis;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Ariana;42;0;606;51;0;524;108;0;1904;201;0;3034;6,6;0,0;;Ariana;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Mannouba;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Mannouba;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Ben Arous;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Ben Arous;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Bizerte;66;194;464;66;223;414;164;283;1716;296;700;2594;11,4;27,0;;Bizerte;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Nabeul;29;411;638;47;118;370;110;254;2226;186;783;3234;5,8;24,2;;Nabeul;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Zaghouan;14;0;141;18;0;167;44;0;736;76;0;1044;7,3;0,0;;Zaghouan;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Beja;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Beja;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Jendouba ;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Jendouba ;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Le Kef;0;105;297;101;0;289;268;0;1658;369;105;2244;16,4;4,7;;Le Kef;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Siliana;8;0;55;61;0;203;147;0;986;216;0;1244;17,4;0;;Siliana;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Kairouan;97;55;486;118;84;521;159;155;1975;374;294;2982;12,5;9,9;;Kairouan;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Sousse;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Sousse;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Mahdia;9;4;160;17;0;208;26;0;244;52;4;612;8,5;0,653594771;;Mahdia;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Monastir;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Monastir;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Kasserine;55;29;576;61;59;442;152;100;2153;268;188;3171;8,5;5,9;;Kasserine;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Sfax;23;75;290;54;95;413;108;106;1801;185;276;2504;7,4;11,0;;Sfax;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Gabes;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!;;Gabes;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Kebili;88;215;685;215;58;852;356;108;3197;659;381;4734;13,9;8,0;;Kebili;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Gafsa;23;0;80;25;0;120;64;0;804;112;0;1004;11,2;0,0;;Gafsa;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Sidi Bouz;59;99;332;77;71;345;186;67;1920;322;237;2597;12,4;9,1;;Sidi Bouz;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Tozeur;4;10;37;17;23;67;28;29;246;49;62;350;14,0;17,7;;Tozeur;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Medenine;37;161;336;49;106;332;139;235;1298;225;502;1966;11,4;25,5;;Medenine;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Tataou;2;11;33;12;10;66;15;25;263;29;46;362;8,0;12,7;;Tataou;;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Total;556;1369;5216;989;847;5333;2074;1362;23127;3619;3578;33676;10,7;10,6;;Total;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;MOIS DE;DE JANVIER;;;2010;;;;;;;;;;;;MOIS DE;DE JANVIER;;;2010;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;0-5 ;;;5-06 ans;;;16 ans;;;;;;;;;;0-5 ;;;5-06 ans;;;16 ans;;;;;;
Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA;;Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA
Tunis;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;Tunis;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!
Ariana;480;0;4684;611;0;4586;1267;0;16900;2358;0;26170;9,0;0,0;;Ariana;243;0;2436;333;0;2312;689;0;8574;1265;0;13322;9,5;0,0
