;;;    GRIPPE   2007-2008;;2009-2010;;;;;;;;;;;;;;;;;;;;;;;;;
Mannouba;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;Mannouba;0;;;;;;;;;0;0;0;#DIV/0!;#DIV/0!
Ben Arous;53;540;1338;92;283;986;320;560;5455;465;1383;7779;6,0;17,8;;Ben Arous;23;311;679;60;200;562;185;287;2894;268;798;4135;6,5;19,3
Bizerte;595;1976;4524;986;1605;4448;2260;2308;18773;3841;5889;27745;13,8;21,2;;Bizerte;287;1041;2373;520;803;2443;1280;1292;9589;2087;3136;14405;14,5;21,8
Nabeul;323;2764;4730;529;1110;3343;1243;2830;19594;2095;6704;27667;7,6;24,2;;Nabeul;155;1340;2341;282;561;1682;620;1480;9903;1057;3381;13926;7,6;24,3
Zaghouan;89;0;762;120;0;914;358;0;3830;567;0;5506;10,3;0,0;;Zaghouan;51;0;398;65;0;496;234;0;2030;350;0;2924;12,0;0,0
Beja;112;200;892;129;70;630;251;168;2431;492;438;3953;12,4;11,1;;Beja;41;57;360;63;26;245;93;50;865;197;133;1470;13,4;9,0
Jendouba ;208;668;1440;117;288;839;439;279;3217;764;1235;5496;13,9;22,5;;Jendouba ;126;439;925;77;195;585;286;166;1980;489;800;3490;14,0;22,9
Le Kef;0;922;2167;712;0;2315;2304;0;14223;3016;922;18705;16,1;4,9;;Le Kef;0;462;1082;362;0;1167;1094;0;7230;1456;462;9479;15,4;4,9
Siliana;97;0;562;551;0;1842;1414;0;8775;2062;0;11179;18,4;0,0;;Siliana;51;0;279;296;0;1028;730;0;4537;1077;0;5844;18,4;0,0
Kairouan;954;368;4218;924;428;4236;1992;1018;17692;3870;1814;26146;14,8;6,9;;Kairouan;449;182;2129;492;187;2171;1011;513;9082;1952;882;13382;14,6;6,6
Sousse;303;530;2815;198;282;1666;1036;661;15660;1537;1473;20141;7,6;7,3;;Sousse;230;414;2175;160;226;1285;745;525;11445;1135;1165;14905;7,6;7,8
Mahdia;100;69;1138;133;0;1269;290;4;1932;523;73;4339;12,1;1,7;;Mahdia;57;31;657;75;0;625;146;3;965;278;34;2247;12,4;1,5
Monastir;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;Monastir;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!
Kasserine;548;61;4161;888;219;3599;2035;820;17540;3471;1100;25300;13,7;4,3;;Kasserine;281;18;1980;409;84;1664;966;385;8296;1656;487;11940;13,9;4,1
Sfax;217;639;2390;530;629;3744;958;1210;16423;1705;2478;22557;7,6;11,0;;Sfax;104;329;1184;281;302;1899;431;596;8464;816;1227;11547;7,1;10,6
Gabes;370;0;2319;540;0;2515;1675;0;10064;2585;0;14898;17,4;0,0;;Gabes;236;0;1455;374;0;1597;1069;0;5946;1679;0;8998;18,7;0,0
Kebili;380;812;2472;885;235;3193;1596;381;13165;2861;1428;18830;15,2;7,6;;Kebili;117;240;727;268;61;893;322;121;3215;707;422;4835;14,6;8,7
Gafsa;125;0;861;313;0;1162;738;0;6402;1176;0;8425;14,0;0,0;;Gafsa;20;0;78;40;0;137;68;0;1128;128;0;1343;9,5;0,0
Sidi Bouz;457;812;2498;765;516;2966;1801;564;15795;3023;1892;21259;14,2;8,9;;Sidi Bouz;200;359;1114;413;255;1466;893;244;7537;1506;858;10117;14,9;8,5
Tozeur;30;66;291;121;116;498;313;240;2189;464;422;2978;15,6;14,2;;Tozeur;19;34;181;62;51;247;201;133;1196;282;218;1624;17,4;13,4
Medenine;151;788;2100;274;585;2112;817;1488;9859;1242;2861;14071;8,8;20,3;;Medenine;39;203;569;87;170;549;219;493;3040;345;866;4158;8,3;20,8
Tataou;29;71;324;92;91;554;170;196;2723;291;358;3601;8,1;9,9;;Tataou;15;39;162;51;46;272;83;98;1443;149;183;1877;7,9;9,7
Total;5621;11286;46686;9510;6457;47417;23277;12727;222642;38408;30470;316745;12,1;9,6;;Total;2744;5499;23284;4770;3167;23325;11365;6386;109359;18879;15052;155968;12,1;9,7
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;                                                                                                                                                                                                                                                               ;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;JANVIER ;;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;SEMAINE 1;;;;;;;;;;;;;;;;;;;;;;;;;
;;0-5 ;;;5-06 ans;;;16 ans;;;;;;;;;;;;;;;;;;;;;;
Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA;;;;;;;;;;;;;;;;
Tunis;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Ariana;95;0;847;90;0;639;235;0;2860;420;0;4346;9,7;0,0;;;;;;;;;;;;;;;;
Mannouba;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Ben Arous;18;94;330;17;48;247;67;125;1170;102;267;1747;5,8;15,3;;;;;;;;;;;;;;;;
Bizerte;137;365;904;189;260;779;477;493;3982;803;1118;5665;14,2;19,7;;;;;;;;;;;;;;;;
Nabeul;71;475;938;115;153;580;257;532;3940;443;1160;5458;8,1;21,3;;;;;;;;;;;;;;;;
Zaghouan;14;0;116;20;0;117;60;0;510;94;0;743;12,7;0;;;;;;;;;;;;;;;;
Beja;17;47;97;15;10;71;50;19;350;82;76;518;15,8;14,67181467;;;;;;;;;;;;;;;;
Jendouba ;57;176;376;28;56;160;121;82;875;206;314;1411;14,6;22,3;;;;;;;;;;;;;;;;
Le Kef;0;213;415;120;0;340;484;0;3127;604;213;3882;15,6;5,5;;;;;;;;;;;;;;;;
Siliana;20;0;117;96;0;278;290;0;1951;406;0;2346;17,3;0;;;;;;;;;;;;;;;;
Kairouan;211;69;900;177;60;672;559;194;3155;947;323;4727;20,0;6,833086524;;;;;;;;;;;;;;;;
Sousse;79;118;709;43;47;369;419;136;4702;541;301;5780;9,4;5,2;;;;;;;;;;;;;;;;
Mahdia;21;25;248;43;0;301;72;0;459;136;25;1008;13,5;2,48015873;;;;;;;;;;;;;;;;
Monastir;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Kasserine;144;2;928;301;1;756;658;28;3837;1103;31;5521;20,0;0,6;;;;;;;;;;;;;;;;
Sfax;58;70;361;110;112;528;264;313;3060;432;495;3949;10,9;12,5;;;;;;;;;;;;;;;;
Gabes;165;0;837;178;0;860;808;0;4078;1151;0;5775;19,9;0;;;;;;;;;;;;;;;;
Kebili;88;161;513;181;59;677;491;78;3569;760;298;4759;16,0;6,3;;;;;;;;;;;;;;;;
Gafsa;20;0;78;40;0;137;68;0;1128;128;0;1343;9,5;0;;;;;;;;;;;;;;;;
Sidi Bouz;68;193;471;140;83;502;476;124;2966;684;400;3939;17,4;10,15486164;;;;;;;;;;;;;;;;
Tozeur;3;9;45;21;21;73;73;51;364;97;81;482;20,1;16,8;;;;;;;;;;;;;;;;
Medenine;26;184;542;56;119;430;230;400;2726;312;703;3698;8,4;19,0;;;;;;;;;;;;;;;;
Tataou;11;9;63;15;21;95;39;56;651;65;86;809;8,0;10,6;;;;;;;;;;;;;;;;
Total;1323;2210;9835;1995;1050;8611;6198;2631;49460;9516;5891;67906;14,0;8,7;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JANVIER ;;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;SEMAINE2;;;;;;;;;;;;;;;;;;;;;;;;;
;;0-5 ;;;5-06 ans;;;16 ans;;;;;;;;;;;;;;;;;;;;;;
Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS;TGRIP;TIRA;T,CONS;TX GR;TX IRA;;;;;;;;;;;;;;;;
Tunis;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Ariana;123;0;957;186;0;1108;339;0;4081;648;0;6146;10,5;0,0;;;;;;;;;;;;;;;;
Mannouba;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Ben Arous;27;292;631;49;129;456;161;283;2756;237;704;3843;6,2;18,3;;;;;;;;;;;;;;;;
Bizerte;121;406;913;224;349;868;494;490;4419;839;1245;6200;13,5;20,1;;;;;;;;;;;;;;;;
Nabeul;89;537;1008;130;235;733;275;628;4575;494;1400;6316;7,8;22,2;;;;;;;;;;;;;;;;
Zaghouan;20;0;153;23;0;160;65;0;759;108;0;1072;10,1;0,0;;;;;;;;;;;;;;;;
Beja;40;70;324;27;23;216;52;55;836;119;148;1376;8,6;10,8;;;;;;;;;;;;;;;;
Jendouba ;47;154;384;34;84;250;139;64;911;220;302;1545;14,2;19,5;;;;;;;;;;;;;;;;
Le Kef;0;199;439;145;0;500;526;0;3144;671;199;4083;16,4;4,9;;;;;;;;;;;;;;;;
Siliana;24;0;118;151;0;473;384;0;1910;559;0;2501;22,4;0,0;;;;;;;;;;;;;;;;
Kairouan;225;76;942;218;83;969;501;181;4191;944;340;6102;15,5;5,6;;;;;;;;;;;;;;;;
Sousse;53;75;476;34;35;288;158;114;2725;245;224;3489;7,0;6,4;;;;;;;;;;;;;;;;
Mahdia;32;20;253;24;0;282;68;1;465;124;21;1000;12,4;2,1;;;;;;;;;;;;;;;;
Monastir;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Kasserine;99;0;720;220;5;777;476;27;3325;795;32;4822;16,5;0,7;;;;;;;;;;;;;;;;
Sfax;47;110;605;164;122;881;204;235;4262;415;467;5748;7,2;8,1;;;;;;;;;;;;;;;;
Gabes;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Kebili;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Gafsa;48;0;580;211;0;684;470;0;3028;729;0;4292;17,0;0,0;;;;;;;;;;;;;;;;
Sidi Bouz;98;150;479;143;107;600;370;101;3478;611;358;4557;13,4;7,9;;;;;;;;;;;;;;;;
Tozeur;6;11;64;24;30;127;93;69;511;123;110;702;17,5;15,7;;;;;;;;;;;;;;;;
Medenine;36;204;543;87;152;557;217;425;2896;340;781;3996;8,5;19,5;;;;;;;;;;;;;;;;
Tataou;11;15;59;36;18;156;51;48;560;98;81;775;12,6;10,5;;;;;;;;;;;;;;;;
Total;1146;2319;9648;2130;1372;10085;5043;2721;48832;8319;6412;68565;12,1;9,4;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JANVIER ;;2010;;;SEMAINE3;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS;TGRIP;TIRA;T,CONS;TX GR;TX IRA;;;;;;;;;;;;;;;;
Tunis;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Ariana;107;0;1118;134;0;1109;286;0;3922;527;0;6149;8,6;0,0;;;;;;;;;;;;;;;;
Mannouba;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Ben Arous;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Bizerte;138;501;1190;247;411;1191;500;493;4395;885;1405;6776;13,1;20,7;;;;;;;;;;;;;;;;
Nabeul;68;634;1058;135;316;859;321;805;4548;524;1755;6465;8,1;27,1;;;;;;;;;;;;;;;;
Zaghouan;32;0;198;37;0;295;125;0;1154;194;0;1647;11,8;0,0;;;;;;;;;;;;;;;;
Beja;25;68;291;43;27;188;84;55;593;152;150;1072;14,2;14,0;;;;;;;;;;;;;;;;
Jendouba ;40;137;240;13;63;140;52;53;515;105;253;895;11,7;28,3;;;;;;;;;;;;;;;;
Le Kef;0;188;479;161;0;549;465;0;3044;626;188;4072;15,4;4,6;;;;;;;;;;;;;;;;
Siliana;24;0;139;128;0;464;313;0;1959;465;0;2562;18,1;0,0;;;;;;;;;;;;;;;;
Kairouan;193;66;892;219;102;1008;392;217;4104;804;385;6004;13,4;6,4;;;;;;;;;;;;;;;;
Sousse;99;206;1021;65;130;626;281;222;5288;445;558;6935;6,4;8,0;;;;;;;;;;;;;;;;
Mahdia;7;4;196;14;0;123;21;1;190;42;5;509;8,3;1,0;;;;;;;;;;;;;;;;
Monastir;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Kasserine;121;24;969;132;150;930;301;651;4215;554;825;6114;9,1;13,5;;;;;;;;;;;;;;;;
Sfax;49;171;462;103;131;915;188;267;3533;340;569;4910;6,9;11,6;;;;;;;;;;;;;;;;
Gabes;142;0;937;204;0;1041;549;0;3966;895;0;5944;15,1;0,0;;;;;;;;;;;;;;;;
Kebili;204;436;1274;489;118;1664;749;195;6399;1442;749;9337;15,4;8,0;;;;;;;;;;;;;;;;
Gafsa;13;0;52;16;0;123;62;0;722;91;0;897;10,1;0,0;;;;;;;;;;;;;;;;
Sidi Bouz;93;197;597;185;125;762;366;126;3696;644;448;5055;12,7;8,9;;;;;;;;;;;;;;;;
Tozeur;13;15;66;28;17;103;54;39;551;95;71;720;13,2;9,9;;;;;;;;;;;;;;;;
Medenine;17;93;302;34;88;371;123;194;1354;174;375;2027;8,6;18,5;;;;;;;;;;;;;;;;
Tataou;3;13;80;16;11;136;45;16;642;64;40;858;7,5;4,7;;;;;;;;;;;;;;;;
Total;1388;2753;11561;2403;1689;12597;5277;3334;54790;9068;7776;78948;11,5;9,8;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JANVIER ;;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;SEMAINE4;;;;;;;;;;;;;;;;;;;;;;;;;
;;0-5 ;;;5-06 ans;;;16 ans;;;;;;;;;;;;;;;;;;;;;;
Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA;;;;;;;;;;;;;;;;
Tunis;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Ariana;113;0;1156;150;0;1206;299;0;4133;562;0;6495;8,7;0,0;;;;;;;;;;;;;;;;
Mannouba;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Ben Arous;8;154;377;26;106;283;92;152;1529;126;412;2189;5,8;18,8;;;;;;;;;;;;;;;;
Bizerte;133;510;1053;260;362;1196;625;549;4261;1018;1421;6510;15,6;21,8;;;;;;;;;;;;;;;;
Nabeul;66;707;1088;102;288;801;280;611;4305;448;1606;6194;7,2;25,9;;;;;;;;;;;;;;;;
Zaghouan;9;0;154;22;0;175;64;0;671;95;0;1000;9,5;0;;;;;;;;;;;;;;;;
Beja;30;15;180;44;10;155;65;39;652;139;64;987;14,1;6,484295846;;;;;;;;;;;;;;;;
Jendouba ;64;201;440;42;85;289;127;80;916;233;366;1645;14,2;22,2;;;;;;;;;;;;;;;;
Le Kef;0;217;537;185;0;637;561;0;3250;746;217;4424;16,9;4,9;;;;;;;;;;;;;;;;
Siliana;21;0;133;115;0;424;280;0;1969;416;0;2526;16,5;0;;;;;;;;;;;;;;;;
Kairouan;228;102;998;192;99;1066;381;271;4267;801;472;6331;12,7;7,5;;;;;;;;;;;;;;;;
Sousse;72;131;609;56;70;383;178;189;2945;306;390;3937;7,8;9,9;;;;;;;;;;;;;;;;
Mahdia;31;16;281;35;0;355;103;2;574;169;18;1210;14,0;1,487603306;;;;;;;;;;;;;;;;
Monastir;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Kasserine;129;6;968;174;4;694;448;14;4010;751;24;5672;13,2;0,4;;;;;;;;;;;;;;;;
Sfax;40;213;672;99;169;1007;194;289;3767;333;671;5446;6,1;12,3;;;;;;;;;;;;;;;;
Gabes;63;0;545;158;0;614;318;0;2020;539;0;3179;17,0;0,0;;;;;;;;;;;;;;;;
Kebili;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Gafsa;21;0;71;21;0;98;74;0;720;116;0;889;13,0;0;;;;;;;;;;;;;;;;
Sidi Bouz;139;173;619;220;130;757;403;146;3735;762;449;5111;14,9;8,8;;;;;;;;;;;;;;;;
Tozeur;4;21;79;31;25;128;65;52;517;100;98;724;13,8;13,5;;;;;;;;;;;;;;;;
Medenine;35;146;377;48;120;422;108;234;1585;191;500;2384;8,0;21,0;;;;;;;;;;;;;;;;
Tataou;2;23;89;13;31;101;20;51;607;35;105;797;4,4;13,2;;;;;;;;;;;;;;;;
Total;1208;2635;10426;1993;1499;10791;4685;2679;46433;7886;6813;67650;11,7;10,1;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JANVIER ;;2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;SEMAINE5;;;;;;;;;;;;;;;;;;;;;;;;;
;;0-5 ;;;5-06 ans;;;16 ans;;;;;;;;;;;;;;;;;;;;;;
Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA;;;;;;;;;;;;;;;;
Tunis;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Ariana;42;0;606;51;0;524;108;0;1904;201;0;3034;6,6;0,0;;;;;;;;;;;;;;;;
Mannouba;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Ben Arous;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Bizerte;66;194;464;66;223;414;164;283;1716;296;700;2594;11,4;27,0;;;;;;;;;;;;;;;;
Nabeul;29;411;638;47;118;370;110;254;2226;186;783;3234;5,8;24,21150278;;;;;;;;;;;;;;;;
Zaghouan;14;0;141;18;0;167;44;0;736;76;0;1044;7,3;0;;;;;;;;;;;;;;;;
Beja;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Jendouba ;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Le Kef;0;105;297;101;0;289;268;0;1658;369;105;2244;16,4;4,7;;;;;;;;;;;;;;;;
Siliana;8;0;55;61;0;203;147;0;986;216;0;1244;17,4;0;;;;;;;;;;;;;;;;
Kairouan;97;55;486;118;84;521;159;155;1975;374;294;2982;12,5;9,9;;;;;;;;;;;;;;;;
Sousse;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Mahdia;9;4;160;17;0;208;26;0;244;52;4;612;8,5;0,653594771;;;;;;;;;;;;;;;;
Monastir;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Kasserine;55;29;576;61;59;442;152;100;2153;268;188;3171;8,5;5,9;;;;;;;;;;;;;;;;
Sfax;23;75;290;54;95;413;108;106;1801;185;276;2504;7,4;11,0;;;;;;;;;;;;;;;;
Gabes;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Kebili;88;215;685;215;58;852;356;108;3197;659;381;4734;13,9;8,0;;;;;;;;;;;;;;;;
Gafsa;23;0;80;25;0;120;64;0;804;112;0;1004;11,2;0;;;;;;;;;;;;;;;;
Sidi Bouz;59;99;332;77;71;345;186;67;1920;322;237;2597;12,4;9,1;;;;;;;;;;;;;;;;
Tozeur;4;10;37;17;23;67;28;29;246;49;62;350;14,0;17,7;;;;;;;;;;;;;;;;
Medenine;37;161;336;49;106;332;139;235;1298;225;502;1966;11,4;25,5;;;;;;;;;;;;;;;;
Tataou;2;11;33;12;10;66;15;25;263;29;46;362;8,0;12,7;;;;;;;;;;;;;;;;
Total;556;1369;5216;989;847;5333;2074;1362;23127;3619;3578;33676;10,7;10,6;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MOIS DE;DE JANVIER;;2010;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;0-5 ;;;5-06 ans;;;16 ans;;;;;;;;;;;;;;;;;;;;;;
Régions;GRIP;IRA;CONS;GRIP;IRA;CONS;GRIP;IRA;CONS; TOTGRIP;Tot IRA;T,cons;TX GR;TX IRA;;;;;;;;;;;;;;;;
Tunis;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Ariana;480;0;4684;611;0;4586;1267;0;16900;2358;0;26170;9,0;0,0;;;;;;;;;;;;;;;;
Mannouba;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Ben Arous;53;540;1338;92;283;986;320;560;5455;465;1383;7779;6,0;17,8;;;;;;;;;;;;;;;;
Bizerte;595;1976;4524;986;1605;4448;2260;2308;18773;3841;5889;27745;13,8;21,2;;;;;;;;;;;;;;;;
Nabeul;323;2764;4730;529;1110;3343;1243;2830;19594;2095;6704;27667;7,6;24,2;;;;;;;;;;;;;;;;
Zaghouan;89;0;762;120;0;914;358;0;3830;567;0;5506;10,3;0,0;;;;;;;;;;;;;;;;
Beja;112;200;892;129;70;630;251;168;2431;492;438;3953;12,4;11,1;;;;;;;;;;;;;;;;
Jendouba ;208;668;1440;117;288;839;439;279;3217;764;1235;5496;13,9;22,5;;;;;;;;;;;;;;;;
Le Kef;0;922;2167;712;0;2315;2304;0;14223;3016;922;18705;16,1;4,9;;;;;;;;;;;;;;;;
Siliana;97;0;562;551;0;1842;1414;0;8775;2062;0;11179;18,4;0,0;;;;;;;;;;;;;;;;
Kairouan;954;368;4218;924;428;4236;1992;1018;17692;3870;1814;26146;14,8;6,9;;;;;;;;;;;;;;;;
Sousse;303;530;2815;198;282;1666;1036;661;15660;1537;1473;20141;7,6;7,3;;;;;;;;;;;;;;;;
Mahdia;100;69;1138;133;0;1269;290;4;1932;523;73;4339;12,1;1,7;;;;;;;;;;;;;;;;
Monastir;0;0;0;0;0;0;0;0;0;0;0;0;#DIV/0!;#DIV/0!;;;;;;;;;;;;;;;;
Kasserine;548;61;4161;888;219;3599;2035;820;17540;3471;1100;25300;13,7;4,3;;;;;;;;;;;;;;;;
Sfax;217;639;2390;530;629;3744;958;1210;16423;1705;2478;22557;7,6;11,0;;;;;;;;;;;;;;;;
Gabes;370;0;2319;540;0;2515;1675;0;10064;2585;0;14898;17,4;0,0;;;;;;;;;;;;;;;;
Kebili;380;812;2472;885;235;3193;1596;381;13165;2861;1428;18830;15,2;7,6;;;;;;;;;;;;;;;;
Gafsa;125;0;861;313;0;1162;738;0;6402;1176;0;8425;14,0;0,0;;;;;;;;;;;;;;;;
Sidi Bouz;457;812;2498;765;516;2966;1801;564;15795;3023;1892;21259;14,2;8,9;;;;;;;;;;;;;;;;
Tozeur;30;66;291;121;116;498;313;240;2189;464;422;2978;15,6;14,2;;;;;;;;;;;;;;;;
Medenine;151;788;2100;274;585;2112;817;1488;9859;1242;2861;14071;8,8;20,3;;;;;;;;;;;;;;;;
Tataou;29;71;324;92;91;554;170;196;2723;291;358;3601;8,1;9,9;;;;;;;;;;;;;;;;
Total;5621;11286;46686;9510;6457;47417;23277;12727;222642;38408;30470;316745;12,1;9,6;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
